Address,Historic Name of Resource,Building Type,Freestanding or Other,Style,SubStyle,Primary Style,Approximate,Range,StartDate,EndDate,"NHL
Rating",#C,#  N/C,N/C Reason,latitude,longitude,Street Number,Modifier,Street Direction,Street,Street Type,Notes
420 East 1st Street,,Church,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1945,1945,N/C,,1,NIP,38.733675,-85.374469,420,,East,1st,Street,
507 East 1st Street,,House,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1860,1860,C,1,,,38.734220,-85.373826,507,,East,1st,Street,
508 East 1st Street,,House,,None,None,No Style,TRUE,FALSE,1945,1945,N/C,,1,NIP,38.733835,-85.373557,508,,East,1st,Street,
509 1/2 East 1st Street,,House,,None,None,No Style,TRUE,FALSE,1980,1980,N/C,,1,NIP,38.734180,-85.373686,509    ,1/2,East,1st,Street,
509 East 1st Street,,House,,None,None,No Style,TRUE,FALSE,1980,1980,N/C,,1,NIP,38.734180,-85.373686,509,,East,1st,Street,
510 East 1st Street,,House,,None,None,No Style,TRUE,FALSE,1945,1945,N/C,,1,NIP,38.733836,-85.373439,510,,East,1st,Street,
511 East 1st Street,,House,,None,None,No Style,TRUE,FALSE,1980,1980,N/C,,1,NIP,38.734144,-85.373530,511,,East,1st,Street,
617 East 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,2,,,38.734225,-85.372360,617,,East,1st,Street,
623 East 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.734229,-85.372142,623,,East,1st,Street,
707 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1960,1960,N/C,,1,NIP,38.734255,-85.371650,707,,East,1st,Street,
708 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,2,,,38.733710,-85.371688,708,,East,1st,Street,
709 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1860,1860,C,1,,,38.734318,-85.371543,709,,East,1st,Street,
710 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1910,1910,C,2,,,38.733795,-85.371542,710,,East,1st,Street,
711 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1860,1860,C,1,,,38.734316,-85.371439,711,,East,1st,Street,
712 East 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1890,1890,C,1,,,38.733792,-85.371427,712,,East,1st,Street,
713 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1860,1860,C,1,,,38.734318,-85.371286,713,,East,1st,Street,
714 East 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1870,1870,C,2,,,38.733714,-85.371230,714,,East,1st,Street,
715 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1860,1860,C,2,,,38.734320,-85.371170,715,,East,1st,Street,
717 East 1st Street,,House,,Bungalow/Craftsman/Foursquare,None,Bungalow/Craftsman,TRUE,FALSE,1915,1915,C,2,,,38.734317,-85.371037,717,,East,1st,Street,
723 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.734317,-85.370931,723,,East,1st,Street,
724 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.733766,-85.371025,724,,East,1st,Street,
801 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.734321,-85.370661,801,,East,1st,Street,
803 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734324,-85.370551,803,,East,1st,Street,
804 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,2,,,38.733714,-85.370588,804,,East,1st,Street,
805 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.734324,-85.370440,805,,East,1st,Street,
806 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.733713,-85.370428,806,,East,1st,Street,
808 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.733715,-85.370320,808,,East,1st,Street,
811 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734318,-85.370329,811,,East,1st,Street,
814 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.733709,-85.370178,814,,East,1st,Street,
815 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734325,-85.370114,815,,East,1st,Street,
816 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.733709,-85.370178,816,,East,1st,Street,
818 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.733718,-85.370035,818,,East,1st,Street,
819 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734325,-85.369954,819,,East,1st,Street,
820 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.733935,-85.369972,820,,East,1st,Street,
822 East 1st Street,Auto Sales Facility,Commercial Building,,None,None,No Style,TRUE,FALSE,1970,1970,N/C,,1,NIP,38.733719,-85.369860,822,,East,1st,Street,
112 West 1st Street,,Garage,,None,None,No Style,TRUE,FALSE,1940,1940,N/C,,1,NIP,38.734761,-85.380932,112,,West,1st,Street,
201 West 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1870,1870,C,1,,,38.734554,-85.381640,201,,West,1st,Street,
205 West 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1870,1870,C,1,,,38.734490,-85.381814,205,,West,1st,Street,
206 West 1st Street,,House,,None,None,No Style,TRUE,FALSE,1980,1980,N/C,,1,NIP,38.734870,-85.381839,206,,West,1st,Street,
207 West 1st Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.734529,-85.381939,207,,West,1st,Street,
215 West 1st Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.734589,-85.382152,215,,West,1st,Street,
217 West 1st Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.734589,-85.382152,217,,West,1st,Street,
219 West 1st Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.734665,-85.382163,219,,West,1st,Street,
221 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734617,-85.382295,221,,West,1st,Street,
223 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734632,-85.382363,223,,West,1st,Street,
225 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734647,-85.382429,225,,West,1st,Street,
227 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.734658,-85.382495,227,,West,1st,Street,
301 West 1st Street,Shrewsbury House,House,,Classical/Greek Revival,Greek,Greek Revival,FALSE,TRUE,1846,1849,C,2,,,38.734612,-85.382909,301,,West,1st,Street,"The Charles Shrewsbury House at 301 W. First Street, like the Lanier Mansion, was designed by Francis Costigan in the Greek Revival style. This two and a half story home displays the same mastery of proportions Costigan employs in the nearby Lanier home, but is more restrained in ornamentation. Built from 1846-49, the cubic home sits on a foundation of dressed sandstone with multipane windows at the basement level. The walls are of a hand-polished pink brick laid in a common bond variant pattern. Pilasters at the corners have egg-and-dart and beadwork ornamentation. Both the north and south facade features a twelve-foot solid panel door. The door on the north side First Street entrance is deeply recessed with sidelights and a classical door surround. The south river view entrance also has sidelights, but is flush with the walls and beneath a Classic style portico. This porch has two fluted columns with bud-style capitals and a cornice with dentils. The windows of the home are either six/over/nine or six/over/six. Those on the first floor are thirteen foot in height and all have pedimented stone lintels with acroterian detail. There are iron balconnettes on south facade windows. This home, like the Lanier home, has an encircling wide entablature that rises to conceal the roof. The Shrewsbury entablature has dentils, beadwork, and rectangular attic windows. A one-story service wing adjoins the west side of the house. It has a hipped roof, windows similar to the main house, and its own entrance. The home's interior features Costigan's famous freestanding spiral staircase and a majestic drawing room. Designated a National Historic Landmark"
402 West 1st Street,,House,,Colonial Revival,None,Colonial Revival,TRUE,FALSE,1920,1920,C,2,,,38.735375,-85.383967,402,,West,1st,Street,
403 West 1st Street,Trow-Thomas House,House,,Italianate,None,Italianate,TRUE,FALSE,1880,1880,C,1,,,38.734880,-85.384134,403,,West,1st,Street,
407 West 1st Street,,House,,Colonial Revival,None,Colonial Revival,TRUE,FALSE,1920,1920,C,1,,,38.734929,-85.384384,407,,West,1st,Street,
409 West 1st Street,,House,,Colonial Revival,None,Colonial Revival,TRUE,FALSE,1920,1920,C,1,,,38.734974,-85.384609,409,,West,1st,Street,
410 West 1st Street,,House,Duplex,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.735428,-85.384174,410,,West,1st,Street,
411 West 1st Street,,House,,Victorian,Queen Anne,Queen Anne,TRUE,FALSE,1900,1900,C,1,,,38.735069,-85.384908,411,,West,1st,Street,
412 West 1st Street,,House,,Bungalow/Craftsman/Foursquare,None,Other: American Four Square,TRUE,FALSE,1910,1910,C,1,,,38.735478,-85.384409,412,,West,1st,Street,
414 West 1st Street,,House,,Bungalow/Craftsman/Foursquare,None,Other: American Four Square,TRUE,FALSE,1910,1910,C,1,,,38.735502,-85.384537,414,,West,1st,Street,
418 West 1st Street,,House,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1870,1870,C,1,,,38.735244,-85.384253,418,,West,1st,Street,
511 West 1st Street,Cravens Square,House,,Designed Landscape,Memorial Garden,Other: Designed Landscape - Memorial Garden,TRUE,FALSE,1953,1953,N/C,,1,,38.735408,-85.385107,511,,West,1st,Street,
511 West 1st Street,James F.D. Lanier House,House,,Classical/Greek Revival,Greek,Greek Revival,FALSE,TRUE,1843,1844,C,1,,,38.735408,-85.385107,511,,West,1st,Street,"The James F. D. Lanier House at 511 W. First Street is a superb example of Greek Revival architecture.  The Lanier Home opened as a museum in 1926 as Indiana's first historical memorial. Architect Francis Costigan designed and built this house in 1843 for Madison financier James Lanier. The home has outstanding beauty and proportions, demonstrates successful adaptation of period architectural pattern books, and retains a high degree of integrity in preservation. The three-story mansion is cubic in form and sits upon a high foundation of coursed, square-cut dressed sandstone. Walls are of brick common bond, each side has three bays of windows separated by pilasters. The home presents a porch facade to both its northern First Street side and its southern Ohio River side. The north facade has a one-story flat roof portico with classic columns. The entry on this side is an inset full panel door with side transom lights and a classic surround. The southern facade has a grand full height and width porch. Simple Corinthian capitals top the four fluted columns that stretch two and a half stories tall. The ceiling of this porch features delicate beadwork and molded decoration. The entry doors on this southern side are similar to those on the north facade. Windows on north and south facades are six/over/nine on the ground floor; windows on the second floor and the sides are six/over/six panes. Windows on each facade directly above the central door are wider, divided into three sections by a column. All windows have wide Classic pediment surrounds with decorative rosettes. The roof of the home is not visible from the ground, as a tall fascia board rises to hide it. This board is decorated with Anthernion carvings at the center of each side, dentils, various molding details, and has round windows encircled by wreaths. A central cupola rises above the central stairwell to crown the building. There is a one-story kitchen addition to the east side with a mansard roof and pedimented windows. The interior features a cantilevered spiral staircase, double parlors, and unusual window shutters. The site also includes many iron fences, the gardens (described separately,) archeological excavation sites, and statuary. Designated a National Historic Landmark"
511 West 1st Street,James F.D. Lanier House Gardens,Garden,,Designed Landscape,Formal Garden,Other: Designed Landscape - Formal garden,TRUE,FALSE,1870,1870,C,1,,,38.735408,-85.385107,511,,West,1st,Street,"The garden associated with the river side of the house (south) is a formal parterre garden featuring flowers, shrubs and trees, along with planting areas defined by low hedges. It was planted ca. 1875 by Alexander Lanier and has been partially restored based on a historic lithograph and other investigations. Much of the fruits and vegetables which were also grown at this site were planted in an adjacent greenhouse which has not survived. In addition to the garden and the greenhouse, the property once included dog kennels and a small pasture. The latter is still represented at the back of the lot.  The restored formal garden is an excellent example of a designed garden in an estate property."
601 West 1st Street,Lide White Boys and Girls Club,Club,,Modern Movement,None,Modern Movement,TRUE,FALSE,1968,1968,N/C,,1,NIP,38.735546,-85.386999,601,,West,1st,Street,
615 West 1st Street,Jefferson County Historical Society,Museum,,Modern Movement,None,Modern Movement,TRUE,FALSE,2000,2000,N/C,,1,NIP,38.735568,-85.387610,615,,West,1st,Street,
615 West 1st Street,"Pitt, Cinc, Chic, & S.L's Rail Station",Railway Station,,Victorian,Queen Anne,Queen Anne,FALSE,FALSE,1894,1894,C,1,,,38.735568,-85.387610,615,,West,1st,Street,"Madison's historic Railroad Station and only example of the Octagonal building style, the Pittsburgh, Cincinnati, Chicago, and St. Louis Railroad Company Station, is located at 615 W. First Street. The company built this station in 1895 to replace one former Madison rail station and it acted as the passenger depot until 1935. The one and a half story building takes an octagonal form on a stone foundation. The walls are composed of sandstone and buff, glazed brick. The full verandah porch with turned posts and scroll cut brackets takes the same roofline as the building. The main entry is a set of double carved panel doors with ovate upper lights and upper transom lights. There are clerestory windows on the second level above the octagonal waiting room; these have multi-panes of stained glass. Windows on the baggage room extension have double arches of brick for their lintels. The roof follows the octagon shape and terminates in a tower with a finial top. The eaves are overhanging with expressed rafters. Brick paving surrounds the station. The Jefferson County Historic Society, located next door, operates the building as a museum."
615 West 1st Street,Caboose 338,Museum,,Other,Rail Car,Other: Rail car design,FALSE,FALSE,1918,1918,C,1,,,38.735568,-85.387610,615,,West,1st,Street,
616 West 1st Street,,Carriage House,,Vernacular: Other,Side Gable,Side Gabled,TRUE,FALSE,1900,1900,C,1,,,38.735836,-85.387332,616,,West,1st,Street,
618 West 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1870,1870,C,1,,,38.736025,-85.387402,618,,West,1st,Street,
620 West 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1870,1870,C,1,,,38.736059,-85.387551,620,,West,1st,Street,
720 West 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1880,1880,C,1,,,38.736180,-85.389084,720,,West,1st,Street,
801 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1860,1860,C,1,,,38.736170,-85.389772,801,,West,1st,Street,
812 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,C,1,,,38.736569,-85.390238,812,,West,1st,Street,
814 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1880,1880,C,1,,,38.736606,-85.390348,814,,West,1st,Street,
816 West 1st Street,,House,,Vernacular: Other,Hall and Parlor,Other: Hall and Parlor,TRUE,FALSE,1850,1850,C,1,,,38.736631,-85.390459,816,,West,1st,Street,
823 West 1st Street,W. H. Miller and Sons,Commercial Building,,Functional,19th Century,Other: 19th C. Functional,FALSE,FALSE,1854,1854,C,1,,,38.736339,-85.390919,823,,West,1st,Street,
901 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,N/C,,1,A,38.736368,-85.391398,901,,West,1st,Street,
902 West 1st Street,,House,,Vernacular: Other,Double Pen,Other: Double Pen,FALSE,FALSE,1837,1837,C,1,,,38.736795,-85.391290,902,,West,1st,Street,
903 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,N/C,,1,A,38.736386,-85.391495,903,,West,1st,Street,
904 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.736816,-85.391394,904,,West,1st,Street,
905 West 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1830,1830,C,1,,,38.736411,-85.391631,905,,West,1st,Street,
908 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1860,1860,C,1,,,38.736847,-85.391557,908,,West,1st,Street,
911 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1850,1850,C,1,,,38.736443,-85.391801,911,,West,1st,Street,
912 West 1st Street,,House,Duplex,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1860,1860,C,1,,,38.736867,-85.391661,912,,West,1st,Street,
913 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1845,1845,C,1,,,38.736465,-85.391920,913,,West,1st,Street,
914 West 1st Street,,House,Duplex,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1860,1860,C,1,,,38.736903,-85.391746,914,,West,1st,Street,
915 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,C,1,,,38.736489,-85.392045,915,,West,1st,Street,
917 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,C,1,,,38.736515,-85.392136,917,,West,1st,Street,
918 West 1st Street,,Livery Stable,,Functional,19th Century,Other: 19th C. Functional,TRUE,FALSE,1850,1850,C,1,,,38.736875,-85.391893,918,,West,1st,Street,
919 West 1st Street,,House,,Vernacular: Other,Cottage,Other: Cottage,TRUE,FALSE,1900,1900,C,1,,,38.736537,-85.392241,919,,West,1st,Street,
920 West 1st Street,,House,,None,None,No Style,TRUE,FALSE,1990,1990,N/C,,1,NIP,38.736929,-85.391976,920,,West,1st,Street,
921 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,N/C,,1,A,38.736557,-85.392343,921,,West,1st,Street,
923 West 1st Street,,House,,Vernacular: Other,Cottage,Other: Cottage,TRUE,FALSE,1900,1900,C,1,,,38.736577,-85.392437,923,,West,1st,Street,
924 West 1st Street,,House,Duplex,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,C,0.5,,,38.736800,-85.392246,924,,West,1st,Street,
926 West 1st Street,,House,Duplex,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,C,0.5,,,38.736983,-85.392273,926,,West,1st,Street,
927 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,N/C,,1,A,38.736598,-85.392533,927,,West,1st,Street,
930 West 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.736815,-85.392328,930,,West,1st,Street,
1001 West 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.736621,-85.392759,1001,,West,1st,Street,
1002 West 1st Street,,Garage,,Functional,20th Century,Other: 20th C. Functional,TRUE,FALSE,1970,1970,N/C,,1,NIP,38.737031,-85.392672,1002,,West,1st,Street,
1003 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1860,1860,N/C,,1,A,38.736636,-85.392853,1003,,West,1st,Street,
1007 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,C,1,,,38.736668,-85.392983,1007,,West,1st,Street,
1008 West 1st Street,,House,,Vernacular: Other,Cottage,Other: Cottage,TRUE,FALSE,1920,1920,N/C,,1,A,38.737099,-85.392905,1008,,West,1st,Street,
1009 West 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,N/C,,1,A,38.736694,-85.393113,1009,,West,1st,Street,
1011 West 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.736721,-85.393245,1011,,West,1st,Street,
1013 West 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.736744,-85.393355,1013,,West,1st,Street,
1014 West 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.737155,-85.393134,1014,,West,1st,Street,
1017 West 1st Street,Smith House,House,,Italianate,None,Italianate,FALSE,FALSE,1876,1876,C,1,,,38.736776,-85.393510,1017,,West,1st,Street,
1103 West 1st Street,,Mobile Home,,Vernacular: Other,Pre-Fab,Other: Pre-Fab,TRUE,FALSE,1980,1980,N/C,,1,NIP,38.737041,-85.393655,1103,,West,1st,Street,
100 East 2nd Street,,Commercial Building,,Modern Movement,None,Modern Movement,TRUE,FALSE,1925,1925,C,1,,,38.734734,-85.379978,100,,East,2nd,Street,
102 East 2nd Street,,Commercial Building,,Art Deco,None,Other: Art Deco,TRUE,FALSE,1960,1960,N/C,,1,NIP,38.735074,-85.380059,102,,East,2nd,Street,
106 East 2nd Street,,Commercial Building,,Commercial Style,None,Commercial Style,TRUE,FALSE,1950,1950,N/C,,1,NIP,38.735064,-85.379789,106,,East,2nd,Street,
107 East 2nd Street,,Commercial Building,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.735302,-85.379804,107,,East,2nd,Street,
111 East 2nd Street,,Livery Stable,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.735384,-85.379604,111,,East,2nd,Street,
113 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1830,1830,C,1,,,38.735387,-85.379417,113,,East,2nd,Street,
115 East 2nd Street,,Commercial Building,,Commercial Style,None,Commercial Style,TRUE,FALSE,1915,1915,N/C,1,,,38.735390,-85.379265,115,,East,2nd,Street,
117 East 2nd Street,,Commercial Building,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.735086,-85.379598,117,,East,2nd,Street,
202 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,0.5,,,38.734993,-85.378627,202,,East,2nd,Street,
204 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,0.5,,,38.734971,-85.378530,204,,East,2nd,Street,
206 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1930,1930,C,1,,,38.734971,-85.378530,206,,East,2nd,Street,
208 East 2nd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.734780,-85.378288,208,,East,2nd,Street,
213 East 2nd Street,,Commercial Building,,Commercial Style,None,Commercial Style,TRUE,FALSE,1925,1925,N/C,1,,,38.735286,-85.377965,213,,East,2nd,Street,
214 East 2nd Street,,House,,None,None,No Style,TRUE,FALSE,1980,1980,C,1,1,NIP,38.734871,-85.377979,214,,East,2nd,Street,
215 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.735287,-85.377876,215,,East,2nd,Street,
216 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1830,1830,C,1,,,38.734862,-85.377890,216,,East,2nd,Street,
217 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.735287,-85.377808,217,,East,2nd,Street,
218 East 2nd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1900,1900,C,1,,,38.734888,-85.377784,218,,East,2nd,Street,
224 East 2nd Street,,Commercial Building,,Classical/Greek Revival,Classical,Neo-Classical Revival,TRUE,FALSE,1985,1985,N/C,,1,NIP,38.734888,-85.377635,224,,East,2nd,Street,
227 East 2nd Street,,Commercial Building,,Commercial Style,None,Commercial Style,TRUE,FALSE,1940,1940,N/C,,1,NIP,38.735197,-85.377537,227,,East,2nd,Street,
309 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.735299,-85.376592,309,,East,2nd,Street,
311 East 2nd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.735300,-85.376503,311,,East,2nd,Street,
314 East 2nd Street,,House,,Vernacular: Other,Hall and Parlor,Other: Hall and Parlor,TRUE,FALSE,1860,1860,C,1,,,38.734890,-85.376380,314,,East,2nd,Street,
